Time (s),Voltage (mV)
0.0,877859.4187106
0.0,877859.4188028
0.0,877859.4188952
0.0,877859.4189885
0.0,877859.4190818
0.0,877859.4191747
0.0,877859.4192673
0.0,877859.4193599
3.0,877859.4194509
0.0,877859.4195428
0.0,877859.419635
0.0,877859.4197277
0.0,877859.4198186
0.0,877859.4199097
0.0,877859.4200024
0.0,877859.4200952
0.0,877859.420187
0.0,877859.4202794
0.0,877859.4203721
0.0,877859.4204644
0.0,877859.4205558
0.0,877859.4206486
6.0,877859.4207404
0.0,877859.4208328
0.0,877859.4209239
0.0,877859.4210146
0.0,877859.4211059
0.0,877859.421198
0.0,877859.4212904
0.0,877859.4213823
0.0,877859.421475
0.0,877859.4215685
0.0,877859.4216613
0.0,877859.4217538
6.0,877859.4218459
0.0,877859.4219386
0.0,877859.4220315
3.0,877859.4221247
0.0,877859.4222161
0.0,877859.4223097
0.0,877859.4224018
0.0,877859.4224941
0.0,877859.4225848
0.0,877859.422677
0.0,877859.422768
0.0,877859.4228596
0.0,877859.4229514
0.0,877859.4230435
0.0,877859.4231358
0.0,877859.4232287
0.0,877859.4233213
0.0,877859.4234414
0.0,877859.4235354
0.0,877859.4236293
0.0,877859.423721
3.0,877859.4238127
0.0,877859.4239043
0.0,877859.4239968
0.0,877859.4240882
0.0,877859.4241797
0.0,877859.4242713
0.0,877859.4243645
0.0,877859.4244556
0.0,877859.4245492
0.0,877859.4246407
0.0,877859.424733
0.0,877859.4248251
0.0,877859.4249167
0.0,877859.4250087
0.0,877859.425103
0.0,877859.4251949
0.0,877859.4252866
0.0,877859.4253782
0.0,877859.4254695
0.0,877859.425561
0.0,877859.4256533
0.0,877859.4257445
0.0,877859.4258412
0.0,877859.4259346
0.0,877859.4260255
0.0,877859.4261167
0.0,877859.4262638
0.0,877859.426391
0.0,877859.4264852
0.0,877859.4265789
0.0,877859.4266715
0.0,877859.4267636
0.0,877859.426856
0.0,877859.4269478
0.0,877859.4270394
0.0,877859.4271307
0.0,877859.4272218
0.0,877859.4273163
0.0,877859.4274078
0.0,877859.4274991
0.0,877859.4275905
0.0,877859.4276824
0.0,877859.4277737
6.0,877859.4278659
0.0,877859.4279587
0.0,877859.4280508
0.0,877859.428142
0.0,877859.4282332
0.0,877859.4283249
0.0,877859.4284172
0.0,877859.4285079
0.0,877859.4286006
0.0,877859.4286929
0.0,877859.4287849
0.0,877859.4288769
0.0,877859.4289686
3.0,877859.429061
0.0,877859.4291535
0.0,877859.4292448
0.0,877859.4293368
0.0,877859.4294287
3.0,877859.4295206
0.0,877859.429613
0.0,877859.4297061
0.0,877859.4297968
0.0,877859.4298877
0.0,877859.4299795
0.0,877859.4300721
3.0,877859.4301643
0.0,877859.430258
0.0,877859.4303505
3.0,877859.4304423
0.0,877859.4305347
0.0,877859.4306264
0.0,877859.4307202
3.0,877859.4308116
0.0,877859.4309047
0.0,877859.4309977
0.0,877859.4310888
0.0,877859.4311802
0.0,877859.4312723
0.0,877859.4313645
0.0,877859.4314561
0.0,877859.4315476
0.0,877859.4316395
0.0,877859.4317314
0.0,877859.4318227
0.0,877859.4319152
0.0,877859.4320079
0.0,877859.4320996
0.0,877859.4321929
0.0,877859.432285
0.0,877859.4323762
0.0,877859.4324672
0.0,877859.4325581
0.0,877859.4326514
0.0,877859.4327426
0.0,877859.4328342
0.0,877859.4329272
0.0,877859.4330207
0.0,877859.4331131
0.0,877859.433207
0.0,877859.433299
0.0,877859.4333896
0.0,877859.4334802
0.0,877859.4335723
0.0,877859.4336629
0.0,877859.433754
0.0,877859.4338444
0.0,877859.4339346
0.0,877859.4340252
0.0,877859.4341159
0.0,877859.4342067
0.0,877859.4342972
0.0,877859.4343878
0.0,877859.4344785
0.0,877859.4345688
0.0,877859.4346594
0.0,877859.4347501
0.0,877859.4348419
0.0,877859.4349324
0.0,877859.4350232
0.0,877859.4351149
6.0,877859.4352067
0.0,877859.4352983
0.0,877859.4353906
0.0,877859.4354828
6.0,877859.4355737
0.0,877859.4356645
0.0,877859.4357577
0.0,877859.4358497
0.0,877859.4359424
0.0,877859.4360345
0.0,877859.4361258
0.0,877859.4362166
0.0,877859.4363075
0.0,877859.4363984
0.0,877859.4364912
0.0,877859.4365826
0.0,877859.4366744
0.0,877859.4367664
0.0,877859.4368581
0.0,877859.4369501
0.0,877859.4370425
0.0,877859.4371349
0.0,877859.437227
0.0,877859.4373194
0.0,877859.4374108
0.0,877859.4375014
0.0,877859.437592
0.0,877859.4376826
0.0,877859.4377737
0.0,877859.4378648
0.0,877859.4379575
0.0,877859.4380493
0.0,877859.4381432
0.0,877859.4382362
0.0,877859.4385404
0.0,877859.4386449
0.0,877859.4387404
0.0,877859.4388333
3.0,877859.4389252
0.0,877859.4390167
0.0,877859.4391071
0.0,877859.4391986
0.0,877859.4392942
0.0,877859.439385
0.0,877859.4394758
0.0,877859.4395669
6.0,877859.439657
0.0,877859.4397473
0.0,877859.4398379
0.0,877859.4399277
0.0,877859.4400181
0.0,877859.4401092
0.0,877859.4401993
0.0,877859.4402895
0.0,877859.4403805
0.0,877859.4404715
0.0,877859.4405634
0.0,877859.4406545
0.0,877859.440745
0.0,877859.4408356
0.0,877859.4409264
0.0,877859.4410187
0.0,877859.4411086
0.0,877859.4411989
0.0,877859.44129
0.0,877859.4413805
0.0,877859.4414725
0.0,877859.4415638
0.0,877859.4416547
3.0,877859.4417447
0.0,877859.4418375
0.0,877859.4419311
0.0,877859.442025
0.0,877859.4421166
0.0,877859.4422085
0.0,877859.4423683
0.0,877859.4425078
0.0,877859.4426093
0.0,877859.4427444
0.0,877859.4428869
0.0,877859.4430451
0.0,877859.443174
0.0,877859.4433185
0.0,877859.4434601
0.0,877859.4436607
0.0,877859.4437768
0.0,877859.4438928
0.0,877859.4440104
0.0,877859.444103
0.0,877859.4442006
0.0,877859.4442924
3.0,877859.4443835
0.0,877859.4444754
3.0,877859.444566
0.0,877859.4446569
0.0,877859.4447475
0.0,877859.4448373
0.0,877859.444927
0.0,877859.4450175
0.0,877859.4451073
0.0,877859.4451975
0.0,877859.4452873
0.0,877859.4453774
3.0,877859.4454673
0.0,877859.4455572
0.0,877859.4456475
0.0,877859.4457387
0.0,877859.4458325
3.0,877859.4459243
0.0,877859.4460157
0.0,877859.4461058
0.0,877859.4461954
0.0,877859.4462855
0.0,877859.4463768
0.0,877859.4464675
0.0,877859.4465591
3.0,877859.4466505
0.0,877859.4467411
0.0,877859.4468306
0.0,877859.4469214
0.0,877859.4470131
0.0,877859.4471039
0.0,877859.4471938
0.0,877859.4472844
0.0,877859.4473744
0.0,877859.4474647
0.0,877859.447555
0.0,877859.4476467
0.0,877859.4477382
0.0,877859.4478287
0.0,877859.4479197
0.0,877859.4480111
0.0,877859.4481022
0.0,877859.4481924
0.0,877859.4482825
0.0,877859.4483724
0.0,877859.4484626
0.0,877859.4485528
0.0,877859.4486425
0.0,877859.4487323
0.0,877859.4488228
0.0,877859.4489145
0.0,877859.4490057
0.0,877859.4490957
0.0,877859.4491862
0.0,877859.4492775
0.0,877859.4493675
3.0,877859.4494579
0.0,877859.449549
0.0,877859.4496395
0.0,877859.4497304
0.0,877859.4498217
0.0,877859.4499114
0.0,877859.4500023
3.0,877859.4500921
0.0,877859.450182
0.0,877859.4502719
0.0,877859.4503617
0.0,877859.450452
0.0,877859.4505435
0.0,877859.4506338
0.0,877859.4507237
0.0,877859.4508139
0.0,877859.4509056
0.0,877859.4509968
0.0,877859.4510869
0.0,877859.4511771
0.0,877859.4512668
0.0,877859.4513569
0.0,877859.451449
0.0,877859.4515396
